Province,Month,Volume,Output_Barley,Unemp_rate_urban,Output_Scane,Output_Wheat,GRP,HCE,FAI,REI,PCDI,PCCE_rural,PCCE_urban,Population_res_ye,Pop_all,Pop_rural,Pop_urban,Pop0to14,Pop15to64,Pop65Plus,CPI,CPI_f,PPI_farm,RPI,CPI_mon,F_visitors,Ov_visit_arriv,pcdi_n,pcdi_u,pcdi_r,pce_n,pce_u,pce_r,ppi_farm_c,ppi_rice,grp_a,grp_index,RegSurf_sqkm,pop_density,pop_density_gi,rgi_GDP,rgi_gpc,ny,christ,ld,cny,gweek,qmj,nd,bolym,cgp,qbf,sbf,srm,smf,festivedays,prcp_f,avg_temp_f,max_temp_f,min_temp_f,max_avg_temp_f,min_avg_temp_f,snwd_f,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,GDP_per_capita_nat,Population_15_45_nat,CPI_RealAvgBeerPrice_nat,Avg_temp_max_nat,year,GDP_per_capita_naty,Population_15_45_naty,CPI_RealAvgBeerPrice_naty,pmi_naty,temp_naty
Anhui,01-01-2005,2.647593405,59.2,0.643452676,21.32,808.1,5350.17,3870,2525.11,459.44,,2196.2,6367.7,6120,62280000,3947,2173,0.23091983,-0.175118785,0.100919028,101.4,2.006037955,98.7,100.6,,-0.387216143,0.63,,,,,,,106.5,105.9,1076.38,111.2,140126,444.46,2.009450896,81.8,80.3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.009260006,34.70259341,48.60956143,16.64269568,42.16036867,1.660162643,0,1,0,0,0,0,0,0,0,0,0,0,14258.8746,677222.891,6.467588543,46.29361084,2005,0.149901372,0.011791365,-0.00603354,-1.612734658,0.00000114
Anhui,01-02-2005,2.491529452,59.2,0.643452676,21.32,808.1,5350.17,3870,2525.11,459.44,,2196.2,6367.7,6120,62280000,3947,2173,0.23091983,-0.175118785,0.100919028,101.4,2.006037955,98.7,100.6,,-0.387216143,0.63,,,,,,,106.5,105.9,1076.38,111.2,140126,444.46,2.009450896,81.8,80.3,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2.88403548,36.62858224,58.91552126,20.59135119,42.01652501,1.691686303,0,0,1,0,0,0,0,0,0,0,0,0,14258.8746,677222.891,6.467588543,46.29361084,2005,0.149901372,0.011791365,-0.00603354,-1.612734658,0.00000114
Anhui,01-03-2005,2.978273612,59.2,0.643452676,21.32,808.1,5350.17,3870,2525.11,459.44,,2196.2,6367.7,6120,62280000,3947,2173,0.23091983,-0.175118785,0.100919028,101.4,2.006037955,98.7,100.6,,-0.387216143,0.63,,,,,,,106.5,105.9,1076.38,111.2,140126,444.46,2.009450896,81.8,80.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.028315654,48.59803795,74.96686575,26.60956143,58.53898265,1.760525471,0,0,0,1,0,0,0,0,0,0,0,0,14258.8746,677222.891,6.467588543,46.29361084,2005,0.149901372,0.011791365,-0.00603354,-1.612734658,0.00000114
Anhui,01-04-2005,3.098360402,59.2,0.643452676,21.32,808.1,5350.17,3870,2525.11,459.44,,2196.2,6367.7,6120,62280000,3947,2173,0.23091983,-0.175118785,0.100919028,101.4,2.006037955,98.7,100.6,,-0.387216143,0.63,,,,,,,100,96.3,2568.14,111.4,140126,444.46,2.009450896,81.8,80.3,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2.873489943,66.07850983,90.27164647,45.33791496,76.98907642,1.868359782,0,0,0,0,1,0,0,0,0,0,0,0,14258.8746,677222.891,6.467588543,46.29361084,2005,0.149901372,0.011791365,-0.00603354,-1.612734658,0.00000114
Anhui,01-05-2005,3.171140586,59.2,0.643452676,21.32,808.1,5350.17,3870,2525.11,459.44,,2196.2,6367.7,6120,62280000,3947,2173,0.23091983,-0.175118785,0.100919028,101.4,2.006037955,98.7,100.6,,-0.387216143,0.63,,,,,,,100,96.3,2568.14,111.4,140126,444.46,2.009450896,81.8,80.3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.225617536,71.36725458,91.27164647,54.71014329,79.69284843,1.906822113,0,0,0,0,0,1,0,0,0,0,0,0,14258.8746,677222.891,6.467588543,46.29361084,2005,0.149901372,0.011791365,-0.00603354,-1.612734658,0.00000114
Anhui,01-06-2005,3.25201739,59.2,0.643452676,21.32,808.1,5350.17,3870,2525.11,459.44,,2196.2,6367.7,6120,62280000,3947,2173,0.23091983,-0.175118785,0.100919028,101.4,2.006037955,98.7,100.6,,-0.387216143,0.63,,,,,,,100,96.3,2568.14,111.4,140126,444.46,2.009450896,81.8,80.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.674679135,81.93854385,96.9325524,67.89731101,90.41306232,1.958772248,0,0,0,0,0,0,1,0,0,0,0,0,14258.8746,677222.891,6.467588543,46.29361084,2005,0.149901372,0.011791365,-0.00603354,-1.612734658,0.00000114
Anhui,01-07-2005,3.24347936,59.2,0.643452676,21.32,808.1,5350.17,3870,2525.11,459.44,,2196.2,6367.7,6120,62280000,3947,2173,0.23091983,-0.175118785,0.100919028,101.4,2.006037955,98.7,100.6,,-0.387216143,0.63,,,,,,,98.9,96.7,3930.13,111.8,140126,444.46,2.009450896,81.8,80.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.12227701,83.41845254,99.83104252,69.25343622,90.70064589,1.976596973,0,0,0,0,0,0,0,1,0,0,0,0,14258.8746,677222.891,6.467588543,46.29361084,2005,0.149901372,0.011791365,-0.00603354,-1.612734658,0.00000114
Anhui,01-08-2005,3.135237023,59.2,0.643452676,21.32,808.1,5350.17,3870,2525.11,459.44,,2196.2,6367.7,6120,62280000,3947,2173,0.23091983,-0.175118785,0.100919028,101.4,2.006037955,98.7,100.6,,-0.387216143,0.63,,,,,,,98.9,96.7,3930.13,111.8,140126,444.46,2.009450896,81.8,80.3,0,0,0,0,0,0,0,0,0,1,0,0,0,16,8.424049167,79.24761057,98.22030198,66.33791496,85.42367951,1.962850731,0,0,0,0,0,0,0,0,1,0,0,0,14258.8746,677222.891,6.467588543,46.29361084,2005,0.149901372,0.011791365,-0.00603354,-1.612734658,0.00000114
Anhui,01-09-2005,3.046042421,59.2,0.643452676,21.32,808.1,5350.17,3870,2525.11,459.44,,2196.2,6367.7,6120,62280000,3947,2173,0.23091983,-0.175118785,0.100919028,101.4,2.006037955,98.7,100.6,,-0.387216143,0.63,,,,,,,98.9,96.7,3930.13,111.8,140126,444.46,2.009450896,81.8,80.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.924996779,75.84420156,95.22030198,63.28657047,83.13087762,1.941756139,0,0,0,0,0,0,0,0,0,1,0,0,14258.8746,677222.891,6.467588543,46.29361084,2005,0.149901372,0.011791365,-0.00603354,-1.612734658,0.00000114
Anhui,01-10-2005,2.811200009,59.2,0.643452676,21.32,808.1,5350.17,3870,2525.11,459.44,,2196.2,6367.7,6120,62280000,3947,2173,0.23091983,-0.175118785,0.100919028,101.4,2.006037955,98.7,100.6,,-0.387216143,0.63,,,,,,,97.2,100.3,5375.84,111.8,140126,444.46,2.009450896,81.8,80.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,63.4377404,79.4737382,43.72717442,71.99080508,1.867516283,0,0,0,0,0,0,0,0,0,0,1,0,14258.8746,677222.891,6.467588543,46.29361084,2005,0.149901372,0.011791365,-0.00603354,-1.612734658,0.00000114
